topic_id,family,primary_fields,secondary_fields,time_field,n_obs,coverage_pct,effect_size,effect_detail,significance,causal_design,assumptions_met,readability,complexity_penalty,proposed_charts
assoc_cat_cat-a000bfde87,correlation,['dt_03' 'dt_04'],[],,363404,1.0,0.2071096454037722,"{""cramers_v"": 0.2071096454037722, ""cells"": 64}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
assoc_cat_cat-670865dc2f,correlation,['dt_01' 'dt_04'],[],,363404,1.0,0.004924171135378295,"{""cramers_v"": 0.004924171135378295, ""cells"": 64}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
assoc_cat_cat-78ba68b8be,correlation,['event_time' 'dt_04'],[],,363404,1.0,0.004806438027787274,"{""cramers_v"": 0.004806438027787274, ""cells"": 64}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
assoc_cat_cat-276c153a8e,correlation,['event_time' 'dt_03'],[],,363404,1.0,0.004708168639949215,"{""cramers_v"": 0.004708168639949215, ""cells"": 64}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
assoc_cat_cat-6e1ea5c58d,correlation,['dt_01' 'dt_03'],[],,363404,1.0,0.004678270694821337,"{""cramers_v"": 0.004678270694821337, ""cells"": 64}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
assoc_cat_cat-0cdab57d33,correlation,['event_time' 'dt_01'],[],,363404,1.0,0.0042690487019037705,"{""cramers_v"": 0.0042690487019037705, ""cells"": 64}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
ranking_count-6867de76c0,ranking,['event_time' '__row_count__'],[],,363404,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""ordered_bar"", ""ordered_column"", ""lollipop"", ""dot_strip_plot""]"
p2w_count-aa6a572b32,part_to_whole,['event_time' '__row_count__'],[],,363404,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""treemap"", ""pie_guarded"", ""donut_guarded""]"
ranking_count-5690f3f39a,ranking,['dt_01' '__row_count__'],[],,363404,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""ordered_bar"", ""ordered_column"", ""lollipop"", ""dot_strip_plot""]"
p2w_count-9c00c9b04c,part_to_whole,['dt_01' '__row_count__'],[],,363404,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""treemap"", ""pie_guarded"", ""donut_guarded""]"
ranking_count-1f26a05171,ranking,['dt_03' '__row_count__'],[],,363404,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""ordered_bar"", ""ordered_column"", ""lollipop"", ""dot_strip_plot""]"
p2w_count-bb3ab68930,part_to_whole,['dt_03' '__row_count__'],[],,363404,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""treemap"", ""pie_guarded"", ""donut_guarded""]"
ranking_count-a033ecad12,ranking,['dt_04' '__row_count__'],[],,363404,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""ordered_bar"", ""ordered_column"", ""lollipop"", ""dot_strip_plot""]"
p2w_count-f9b51ad31f,part_to_whole,['dt_04' '__row_count__'],[],,363404,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""treemap"", ""pie_guarded"", ""donut_guarded""]"
ranking_dow-24e5c16f50,ranking,['day_of_week' '__row_count__'],[],event_time,363404,1.0,0.0,"{""metric"": ""count"", ""derived_category"": ""day_of_week""}",{},,[],1.0,0.04,"[""ordered_bar"", ""ordered_column"", ""lollipop""]"
ranking_hod-6c7a2f5578,ranking,['hour_of_day' '__row_count__'],[],event_time,363404,1.0,0.0,"{""metric"": ""count"", ""derived_category"": ""hour_of_day""}",{},,[],1.0,0.04,"[""ordered_bar"", ""ordered_column"", ""lollipop""]"
